Processed 233000 numbers: avg=1784295.21, median=612493.30, uniques=227659
Processed 234000 numbers: avg=1788845.38, median=618798.10, uniques=228613
Processed 235000 numbers: avg=1789536.15, median=618798.10, uniques=229567
Processed 236000 numbers: avg=1794821.22, median=619751.30, uniques=230515
Processed 237000 numbers: avg=1803428.36, median=626430.90, uniques=231459
Processed 238000 numbers: avg=1818217.28, median=626520.50, uniques=232412
Processed 239000 numbers: avg=1820385.95, median=629406.50, uniques=233370
Processed 240000 numbers: avg=1823032.81, median=630114.00, uniques=234324
Processed 241000 numbers: avg=1825254.97, median=630827.20, uniques=235271
Processed 242000 numbers: avg=1825906.25, median=630827.20, uniques=236222
Processed 243000 numbers: avg=1827659.85, median=632436.40, uniques=237145
Processed 244000 numbers: avg=1828552.83, median=637538.90, uniques=238093
Processed 245000 numbers: avg=1830456.13, median=640140.70, uniques=239035
Processed 246000 numbers: avg=1833179.98, median=642608.20, uniques=239981
Processed 247000 numbers: avg=1836092.58, median=647455.70, uniques=240941
Processed 248000 numbers: avg=1841322.77, median=650210.80, uniques=241897
Processed 249000 numbers: avg=1843113.12, median=651737.10, uniques=242847
Processed 250000 numbers: avg=1844046.91, median=651737.10, uniques=243798
Processed 251000 numbers: avg=1845661.61, median=653846.50, uniques=244751
Processed 252000 numbers: avg=1847849.22, median=660975.50, uniques=245696
Processed 253000 numbers: avg=1851655.37, median=663513.20, uniques=246654
Processed 254000 numbers: avg=1864633.25, median=666110.20, uniques=247607
Processed 255000 numbers: avg=1866926.03, median=670360.80, uniques=248555
Processed 256000 numbers: avg=1878292.18, median=672738.10, uniques=249505
Processed 257000 numbers: avg=1884250.86, median=676426.70, uniques=250458
Processed 258000 numbers: avg=1892671.79, median=677155.80, uniques=251400
Processed 259000 numbers: avg=1894228.95, median=677696.30, uniques=252348
Processed 260000 numbers: avg=1896799.55, median=680267.30, uniques=253295
Processed 261000 numbers: avg=1898717.50, median=680431.60, uniques=254238
Processed 262000 numbers: avg=1905600.36, median=686543.10, uniques=255186
Processed 263000 numbers: avg=1909525.86, median=693264.20, uniques=256138
Processed 264000 numbers: avg=1912985.42, median=696808.40, uniques=257075
Processed 265000 numbers: avg=1915409.66, median=696808.40, uniques=258024
Processed 266000 numbers: avg=1916614.47, median=698440.50, uniques=258971
Processed 267000 numbers: avg=1922301.07, median=701226.00, uniques=259920
Processed 268000 numbers: avg=1924907.78, median=701226.00, uniques=260877
Processed 269000 numbers: avg=1926565.94, median=709115.20, uniques=261823
Processed 270000 numbers: avg=1934489.07, median=715688.70, uniques=262774
Processed 271000 numbers: avg=1938666.30, median=716538.50, uniques=263715
Processed 272000 numbers: avg=1940286.89, median=722860.80, uniques=264669
Processed 273000 numbers: avg=2168121.38, median=729507.90, uniques=265596
Processed 274000 numbers: avg=2169700.21, median=729507.90, uniques=266537
Processed 275000 numbers: avg=2171986.13, median=729507.90, uniques=267485
Processed 276000 numbers: avg=2175996.17, median=733030.80, uniques=268421
Processed 277000 numbers: avg=2178186.30, median=735467.60, uniques=269371
Processed 278000 numbers: avg=2180601.39, median=741144.50, uniques=270323
Processed 279000 numbers: avg=2183210.23, median=744623.20, uniques=271265
Processed 280000 numbers: avg=2188307.69, median=747245.50, uniques=272214
Processed 281000 numbers: avg=2189265.02, median=748604.90, uniques=273173
Processed 282000 numbers: avg=2190374.64, median=748604.90, uniques=274115
Processed 283000 numbers: avg=2195618.35, median=751188.20, uniques=275058
Processed 284000 numbers: avg=2196214.83, median=751188.20, uniques=276006
Processed 285000 numbers: avg=2200266.89, median=757262.30, uniques=276952
Processed 286000 numbers: avg=2201950.41, median=758198.00, uniques=277889
Processed 287000 numbers: avg=2213966.32, median=759155.40, uniques=278826
Processed 288000 numbers: avg=2215950.47, median=760806.50, uniques=279757
Processed 289000 numbers: avg=2219616.92, median=764704.80, uniques=280703
Processed 290000 numbers: avg=2231860.06, median=766261.10, uniques=281647
Processed 291000 numbers: avg=2244645.39, median=771852.40, uniques=282588
Processed 292000 numbers: avg=2253356.29, median=780223.40, uniques=283521
Processed 293000 numbers: avg=2255604.93, median=780868.10, uniques=284467
Processed 294000 numbers: avg=2261424.19, median=782509.30, uniques=285405
Processed 295000 numbers: avg=2263411.31, median=784854.40, uniques=286345
Processed 296000 numbers: avg=2307869.58, median=787373.70, uniques=287293
Processed 297000 numbers: avg=2311471.24, median=790251.70, uniques=288236
Processed 298000 numbers: avg=2325346.66, median=792759.20, uniques=289186
Processed 299000 numbers: avg=2332358.78, median=796427.60, uniques=290117
Processed 300000 numbers: avg=2335349.83, median=796427.60, uniques=291060
